,Topic,For_Info
2936,فرزندان جانباز و بازنشستگان جانباز,-1
2937,جمعی از بازنشستگان و هر ایرانی که خواستار اجرای عدالت باشد,-1
2938,بازنشستگان کشوری و لشکری و خانواده های ایشان,23
2939,فعالان بازار سرمایه، فعالان رسانه‌ای و اجتماعی فسادستیز، طرفداران شفافیت و عدالت,0
2940,دانشجویان و هواداران فوتبال,-1
2941,فرهنگیان علاقه مند به اخذ مجوز و اعمال مدرک در رشته مشاوره با گرایش های ۴ گانه( خانواده، مدرسه، توانبخشی و شغلی),-1
2942,دواطلبان کنکور سراسری، فرهنگیان، کارشناسان,1
2943,دانشجویان علوم پزشکی ‌,37
2944,جمعی از مشاوران و مربیان پرورشی آموزش و پرورش,82
2945,جمعی از مردم و دانشجویان و کارمندان و اقشار جامعه و بازنشستگان و فرهنگیان,-1
2946,وکلای دادگستری و کارمندانی که مرتکب تخلفات اداری شده‌اند,-1
2947,جمعی از پزشکان ، عامه مردم,86
2948,کادر بهداشت و درمان کشور، دانشجویان علوم پزشکی,4
2949,جمعی از کارمندان مستعفی مؤسسه کاسپین,17
2950,جمعی از کارمندان و کارکنان دولت و خانواده های آنها,-1
2951,ناشنوایان ، کم شنوایان و همه کسانی که به ناشنوایان علاقه دارند,-1
2952,جمعی از فعالین حوزه ی اوتیسم,-1
2953,جمعی از مربیان فعال ورزشی سطح کشور,-1
2954,جمعی از دانشجویان پزشکی,-1
2955,مشترکان تلفن ثابت,-1
2956,ملت غیور ایران,18
2957,کوهنوردان و گردشگران و دوستداران محیط زیست,0
2958,جمعی از کارمندان زن,-1
2959,جمعی از رانندگان تاکسی,-1
2960,جمعی از فارغ‌التحصیلان رشته مهندسی عمران,108
2961,دانشجویان مهندسی، مهندسان، مهندسان عمران، مهندسان مکانیک، مهندسان برق، مهندسان نقشه‌برداری,-1
2962,مهندسین شهرساز,49
2963,جانبازان حالت اشتغال تبصره یک,-1
2964,مددکاران اجتماعی,-1
2965,عموم مردم، هنرمندان، نویسندگان و اهالی رسانه,-1
2966,هموطنان ایرانی,74
2967,دانشجویان جدید الورود مقطع دکتری دانشگاه آزاد,40
2968,جمعی از دانشجویان دانشگاه علامه طباطبایی,24
2969,جمعی از مردم ایران .جامعه معلولین کشور .کارمندان دولت .فرهنگیان,22
2970,جمعی از بازنشستگان و شاغلین مشارک صندوق بازنشستگی شرکت ملی صنایع مس ایران,-1
2971,جمعی از معلولین و اقوام وسرپرستان و همکاران و حامیان آنها و مردم که ازمشکلات آنها مطلعند!,0
2972,چندین میلیون نفر از ملت ایران,70
2973,کارکنان اورژانس ۱۱۵,91
2974,جمعی از مددجویان بهزیستی,-1
2975,مستمری بگیران روستایی و عشایر,8
2976,تمام افراد جامعه,15
2977,داوطلبان آزمون ورود به حرفه مهندسان شهریور 1401,1
2978,جمعی از دانشجویان دانشگاه آزاد,24
2979,کارمندان، کارکنان و بازنشستگان,47
2980,حسابداران، حسابرسان و صاحبنظران حرفه,-1
2981,اولیا دانش آموزان مدارس دولتی سراسر کشور,-1
2982,هواداران فوتبال ایران,50
2983,شرکت‌کنندگان آزمون نظام مهندسی ساختمان,1
2984,ایثارگران محترم و فرزندان شهید و جانباز,87
2985,جمعی از پرستاران,5
2986,دانش آموزان، داوطلبان کنکور و خانواده هایشان,-1
2987,سهامداران گروه دارویی برکت,72
2988,مردم مظلوم ایران,18
2989,مالباختگان,65
2990,هوادارن فوتبال,50
2991,جمعی از متقاضیان خرید کامیون,-1
2992,کاربران اینترنت ایران,59
2993,معلمان ،اعضای کمیسیون آموزش مجلس، نمایندگان مجلس ،دانش اموزان,45
2994,بازنشستگان و مستمری بگیران مجموعه سازمان منابع طبیعی و آبخیزداری کشور,124
2995,ورزشکاران، وکلای دادگستری، کارشناسان حقوقی، دانش آموختگان حقوق و اهالی رسانه,130
2996,همه مردم حیوان دوست، حامیان حیوانات، انجمن های حمایت از حیوانات، پزشکان، دامپزشکان، اهالی فرهنگ و هنر همچنین نیروی محترم انتظامی,0
2997,بیماران پیوند عضو و بیماران لیست انتظار پیوند,27
2998,دانشجویان. فرهنگیان.,22
2999,فرهنگیان، کارکنان دولت،#اعضای هیأت علمی دانشگاه ها و...,22
3000,معلمان، معلمان مهرآفرین، نیروهای مهرآفرین آموزش و پرورش و..,46
3001,مدیران و پرسنل مراکز توانبخشی و جامعه معلولان و سالمندان,-1
3002,انجمن های صنفی کارگران و استاد کاران ساختمانی. شرکت های تعاونی تامین نیاز ساختمانی,-1
3003,دانشجویان خارج از کشور,-1
3004,همه متقاضیان شرکت در آزمون استخدامی آموزش و پرورش,-1
3005,جامعه کثیر ایثارگران ماده 38 وخانوادهای محترم شهدا و اسرا وآزادگان,77
3006,بازنشستگان فرهنگی ۱۴۰۰,105
3007,جمعی از نیروهای انسانی پیمانکاران,5
3008,کلیه بیماران خاص و صعب‌العلاج شاغل و خانواده هایشان,27
3009,عموم مردم مالباخته در شرکت یونیک فاینانس,68
3010,خانواده دانشجویان دانشگاه آزاد اسلامی,127
3011,جوانان دارای تحصیلات دانشگاهی,84
3012,قرقبانان شرکتی منابع طبیعی,0
3013,کارکنان وزارت بهداشت ، بیمارستان ها، سازمان انتقال خون,4
3014,امور عشایر کشور ،استان ،شهرستان,-1
3015,جمعی از حوزیان,5
3016,کارکنان دانشگاه ها و مراکز آموزشی و پژوهشی,-1
3017,جمعی از نیروهای نهضتی,5
3018,عموم بازنشستگان بالاخص بازنشستگان سازمان تامین اجتماعی,8
3019,دانشجویان علوم پزشکی کشور,37
3020,معلمان متقاضی ورود به آموزش عالی به عنوان عضو هیئت علمی,-1
3021,جمعی از زوج های در شرف ازدواج,6
3022,مهندسین عمران، مربیان و بازیکنان ورزشی، اهالی کتاب و بازی های فکری,80
3023,جمعی از پرسنل شاغل وبازنشسته فرهنگی,-1
3024,کلیه حقوق بگیران و بازنشستگان,-1
3025,جمعی از مأمورین قرائت کنتور,-1
3026,فرهنگیان سراسر کشور,12
3027,جمعی از طلاب,5
3028,کارکنان آموزش و پرورش,46
3029,جمعی از آموزگاران مدارس غیر انتفاعی,-1
3030,بانوان متاهل کارمند,73
3031,کارمندان و کارگران دولت و بازنشستگان,13
3032,بازنشستگان فولاد,-1
3033,جامعه فرهنگیان,56
3034,کارکنان و خانواده امداد و سایر اقشار جامعه,47
3035,بازنشستگان کارگر,129
3036,نیروهای پیش دبستانی غیر دولتی,101
3037,جامعه بدمینتون- داوران بدمنیتون-مربیان بدمینتون- بازیکنان بدمینتون- روسای هیات های استانی,80
3038,پزشکان، پیرا پزشکان و دانش آموختگان توانبخشی,-1
3039,داوطلبین آزمون استخدامی آموزش و پرورش,61
3040,کارکنان شرکت ملی پست ج.ا.ا,-1
3041,کارکنان بازنشسته بانک ملت,104
3042,مرغداران گوشتی,-1
3043,بازنشستگان فرهنگی وکشوری,-1
3044,کارکنان صنعت نفت,25
3045,افراد تحصیل کرده و فرهنگی,-1
3046,استفاده کنندگان از موتورسیکلت‌های برقی و اتوماتیک,-1
3047,دانشجویان دانشگاه‌های علوم پزشکی سراسر کشور,37
3048,جمعی از علاقمندان به موسیقی,-1
3049,کارمندان دولت اعم از شاغل و بازنشسته,-1
3050,مرتزقین موقوفه,2
3051,کلیه فرهنگیان و معلمان و کارمندان آموزش و پرورش,46
3052,ایثارگران و رزمندگان دارای سابقه جبهه کمتر از 6 ماه,-1
3053,بدهکاران و قربانیان مهریه,-1
3054,داوطلبان وکالت و دانش‌آموختگان رشته حقوق,-1
3055,هواداران سینمای ایران,50
3056,دانشجویان فارغ‌التحصیل با رشته‌های وابسته به آموزش و پرورش,-1
3057,مردم، فرهنگیان شاغل و بازنشسته، اقشار فرهیخته، خانواده فرهنگیان,-1
3058,فارغ التحصیلان دانشگاهی,110
3059,نیروهای گشت و بازرسی و کارشناس های حقوقی شرکت‌های آب منطقه‌ای,-1
3060,مالکان و رانندگان کامیون,33
3061,داوطلبان آزمون دکتری تخصصی وزارت بهداشت,128
3062,بازنشستگان فرهنگی و فرهنگیان شاغل,97
3063,بیمه شدگان، بازنشستگان و مستمری‌بگیران تامین اجتماعی,8
3064,نیروهای بی‌بضاعت پشتیبان سامانه سیب مستقر در دانشگاه‌های علوم پزشکی,37
3065,فرهنگیان بازمانده از طرح رتبه‌بندی,-1
3066,راهنمایان گردشگری، دانشجویان رشته گردشگری و هتلداری، انجمن صنفی دفاتر و شرکت‌های مسافرتی ایران، مدیران دفاتر و شرکت‌های خدمات مسافرت هوایی، گردشگری و زیارتی,-1
3067,جانبازان و والدین شهدا,87
3068,تمام مردم بخصوص مردم سیستان و بلوچستان و هرمزگان,85
3069,تمامی اقشار مردم,15
3070,نمایندگان و کارگزاران بیمه,100
3071,مشتریان کرمان‌خودرو,19
3072,دستیاران فوق تخصصی ورودی سال ۱۴۰۱,-1
3073,دامپزشکان، دامداران، مرغداران، اصناف و افراد مرتبط با دام و طیور و دوستداران حیوانات,-1
3074,کارمندان بانک ها,3
3075,پرسنل سازمان حفاظت محیط زیست کشور,0
3076,زنان ، مردان ، فرهنگیان و …,-1
3077,داو طلبین کنکور,-1
3078,دانش‌آموختگان رشته علم طلاعات و دانش شناسی,-1
3079,داوطلبان آزمون دستیاری ۴۹,1
3080,اساتید حق التدریس دانشگاه ها و مراکز آموزش عالی,-1
3081,نیروهای خدمات آموزش و پرورش,46
3082,رانندگان شرکت واحد و ناوگان برون شهری,33
3083,مالکین مسکن مهر,34
3084,فعالین بخش معدن,44
3085,جمعی از مردم دلسوز کشور,70
3086,خریداران خودرو از طریق طرح قرعه کشی یکپارچه,19
3087,فرهنگیان آموزش و پرورش,46
3088,دانش آموزانِ دوره دوم متوسطه، معلمان و دبیران، مشاورین مدارس، خانواده ها و...,-1
3089,گروه مامایی کشور,121
3090,دانشجویان و دانش‌آموختگان رشته‌های علوم پزشکی و پیراپزشکی,-1
3091,فرهنگیان آموزشی طرح مهر آفرین,-1
3092,دانشجویان، دانشجومعلمان، فرهنگیان، معلمان، استادان، دانش‌آموزان، اولیا و عموم دلسوزان,45
3093,باستان‌شناسان,2
3094,ازطرف نیروهای tct مخابرات,3
3095,دوستداران محیط زیست و حیوانات، حامیان حیوانات، صاحبان سگ و حیوانات خانگی، دامپزشکان، مربیان حیوانات و کلیه شهروندان,0
3096,خانواده ها و دانشجویان شاهد و ایثارگر کشور,87
3097,وکلای دادگستری و حقوق دانان و اساتید دانشگاه,-1
3098,جامعه اورژانس کشور,32
3099,فرهنگیان غیر رسمی شاغل در مدارس غیر انتفاعی,101
3100,ورزشکاران مربیان داوران پیشکسوتان ورزش هاکی کشور,109
3101,کلیه بیمه شدگان تأمین اجتماعی,8
3102,دانشجویان دکتری دانشگاه آزاد اسلامی,40
3103,اهالی شهریار,26
3104,حافظان زمین,-1
3105,فرهیختگان حوزوی و دانشگاهی و مشاروان دینی و مذهبی,-1
3106,کارمندان وزارت بهداشت,-1
3107,کارکنان حفاظت محیط زیست,0
3108,دانشجویان دانشگاه‌های چین,-1
3109,مخاطبان و بینندگان سریال جیران,-1
3110,فالوئرهای پیج اینستاگرام ivaz_plus,59
3111,عموم مردم ایران بویژه مردم شریف استان های ( فارس _ هرمزگان _ بوشهر),83
3112,کمک پرستاران,2
3113,تبدیل وضعیت شدگاه خانواده های ایثارگران,-1
3114,همه مردم عزیز,18
3115,فروشنده های شرکت های پخش,-1
3116,کاربران فضای مجازی,-1
3117,فارغ‌التحصیلان کشاورزی، مهندسین ناظر و سربازان امریه جهاد کشاورزی,-1
3118,بازنشستگان وزارت بهداشت,4
3119,کنکوری ها,2
3120,خانواده بزرگ نفت,-1
3121,جمعی از طرفداران محیط زیست و دوستداران ایران,0
3122,همه کارمندان,15
3123,انجمنهای مردمی حمایت از حیوانات,0
3124,بازنشستگان، فرهنگیان، دانشجو معلمان,-1
3125,کارمندان دولت به ویژه کارمندان در شرف بازنشستگی,6
3126,صاحبان کسب و کارهای آنلاین,66
3127,دانشجویان و جوانان خوابگاهی و مستاجران,-1
3128,بازنشستگان، فرهنگیان، کشاورزان، کارمندان بانک کشاورزی، سهامداران,47
3129,مالکان خودروها,-1
3130,عموم مردم ایران، دوستداران محیط زیست، حیات وحش و حیوانات شهری,0
3131,دیوان عدالت اداری ، وزارت راه و شهرسازی ، هیئت دولت ، وزارت صمت ، اتاق اصناف ، سازمان نظام مهندسی,-1
3132,تمامی کارمندان دولت,13
3133,نیروهای خرید خدمات فرهنگیان,-1
3134,عموم خانم های خانه دار,73
3135,تشکلهای اجتماعی و کنشگران محیط زیستی کشور,0
3136,کلیه پرسنل انتظامی,15
3137,افراد بومی و ساکنین قدیمی شمیرانات,-1
3138,دانشجویان، فارغ‌التحصیلان و کادر بهداشتی و درمانی کشور,45
3139,وکلای مستقل کانون وکلای دادگستری ، حقوقدانان و فرهیختگان جامعه,89
3140,تحصیلکرده های مجرد، دانشجویان دکترا، فارغ التحصیلان تحصیلات تکمیلی,110
3141,جمعی از سازندگان در عرصه ساخت و ساز,6
3142,تمامی گروه های مامایی سراسر کشور,12
3143,شرکتهای مسافربری،بنگاه های املاک وماشین ومیادین میوه وخشکبار,39
3144,روانشناسان، مشاوران، دانشجویان، پزشکان و عموم مردم,4
3145,جامعه طلاب و روحانیت,-1
3146,پرسنل سازمان تامین اجتماعی,8
3147,تمامی خانهای شاغل دارای سه فرزند,-1
3148,عشایر کل کشور,12
3149,جمعی از نخبگان و فعالان اجتماعی,0
3150,همه عموم ملت و بانک مرکزی.وزیر اقتصاد,102
3151,کارمندان جدیدالورود عموم مردم,31
3152,کلیه حقوق بگیران دولتی و خصوصی و بازنشستگان,-1
3153,جمعز از تعاونگران,5
3154,تمامی کارمندانی که به اصول اخلاقی پایبند هستند,-1
3155,فرهنگیان محترم و سربازمعلم‌ها,-1
3156,دانشجویان و داوطلبان کنکور کارشناسی ارشد,1
3157,دانشجو,2
3158,کارکنان شرکت‌های واگذارشده صنعت نفت,25
3159,جمعی از سهامداران بورس,98
3160,اعضا نظام مهندسی کشاورزی و منابع طبیعی,-1
3161,جامعه ایثارگران,56
3162,کارکنان وزارت نفت,25
3163,عوامل کسب و کار اینترنتی,66
3164,کارکنان وزارت جهادکشاورزی,-1
3165,دریانوردان شاغل در ناوگان دریایی شرکت کشتیرانی جمهوری اسلامی ایران و شرکتهای تابعه,-1
3166,فرهنگیان خواستار نقل و انتقالات اضطراری,-1
3167,خانم های شاغل,73
3168,مهاجرین افغانستان در ایران,74
3169,دانش آموختگان رشته حقوق و متقاضیان آزمون وکالت,-1
3170,کارشناسان و کارشناسان ارشد علوم آزمایشگاهی,-1
3171,کارشناسان دانشگاهها و مراکز تحقیقاتی,-1
3172,جمعی از دارندگان شرکتهای حمل و نقل جاده ای ، شرکتهای راهسازی و ساختمانی ، شرکتهای معدنی و صنعتی ، شرکتها و کسب و کارهای مرتبط با حوزه لجستیک و حمل و نقل کالا و ...,39
3173,کلیه بازنشستگان کشوری و لشکری و تامین اجتماعی,8
3174,اولیا دانش آموزان ششم به هفتم,41
3175,کارکنان و کارگران دستگاه‌های دولت ساکن در شهرهای زیر پانصدهزار نفر جمعیت,6
3176,کلیه بازنشستگان کشوری,97
3177,دانشجویان و فارغ التحصیلان دوره ی کارشناسی متمایل به تحصیل در رشته ی پزشکی,-1
3178,عموم وآحاد مردم,-1
3179,فعالان محیط زیست،عموم مردم,0
3180,کار کنان منشی و شاغل در ردیف منشی سازمان تامین اجتماعی,6
3181,اعضا سازمان نظام مهندسی معدن ایران، خانه معدن، انجمن معدنکاران و سرمایه گذاران بخش خصوصی در عرصه معدن و صنایع معدنی,-1
3182,مردم زنجان,7
3183,عده کثیری از دانشجویان,-1
3184,علاقه‌مندان به ورزش فوتبال,-1
3185,مهندسین کشاورزی، بهره‌برداران بخش کشاورزی و کارکنان جهاد کشاورزی,-1
3186,دانشجویان، اساتید دانشگاه، پرسنل دانشگاه، اکثریت مردم جامعه,-1
3187,مردم و جامعه ورزش کشور,-1
3188,مردم ایران، حامیان حیوانات، انجمن‌های مردم‌نهاد حمایت از حیوانات و محیط زیست، فرهنگیان، دامپزشکان و...,0
3189,صاحبان کسب و کار مجازی، فریلنسرها، استادید آموزش مجازی، جوانان مستعد در امر آموزش,6
3190,مدیران و مربیان مهد کودک و والدین کودکان,-1
3191,سازمان مردم نهاد,0
3192,مهاجرین افغانستانی,74
3193,کشاورزان خوزستان ،زاگرس نشبنان و فعلان محیط زیست,0
3194,دانشجویان دانشگاه غیر انتفاعی علوم پزشکی وارستگان,36
3195,فعالین حوزه معدن و دانش‌آموخته‌های رشته‌های معدن و زمین‌شناسی,28
3196,مربیان ورزش شهرداری,-1
3197,نیروهای شرکتی(پیمانکاری),3
3198,تمامی آحاد قشر متوسط و ضعیف جامعه،کلیه بازنشستگان لشکری و کشوری و کارگران و کارمندان,-1
3199,اقشار مختلف مردم و مستأجران,15
3200,همیارمحیط زیست,0
3201,اهالی فعال بازار سرمایه,76
3202,جامعه مهندسین کشاورزی و منابع طبیعی کشور,49
3203,نمایندگان بیمه ایران استان البرز,100
3204,چند هزار سهامدار تپکو,67
3205,ورزشکاران، بوکسوران، فرهنگی ها,-1
3206,حامیان طبیعت و دوستداران جنگل‌های بلوط,0
3207,داوطلبان آزمون‌های استخدامی,1
3208,دندانپزشکان,2
3209,مردم دوستدار طبیعت,0
3210,شهروندان استانهای شمالی خصوصا مازندران,14
3211,قومیت‌های مختلف ایران عزیز,18
3212,بیماران خاص,27
3213,کلیه ی مردم، اقشار کم درآمد، دانشجویان، جوانان,47
3214,دانشجویان و فارغ التحصیلان دانشگاهی,110
3215,رد شدگان قانون استخدامی آموزش و پرورش,61
3216,دوستداران ورزش,-1
3217,به نمایندگی ازمردم بخش چاروسا,-1
3218,بیماران پیوند قلب,27
3219,بازنشستگان دانشگاه فنی و حرفه‌ای,82
3220,مهندسین نقشه بردار کشور,49
3221,حامیان محیط زیست و سگ‌های خیابانی,0
3222,جامعهٔ مترجمان,56
3223,آموزشگاه‌های فنی و حرفه‌ای آزاد کشور,82
3224,دستیاران تخصصی سراسر کشور,12
3225,تمامی حقوق بگیران تامین اجتماعی و کارکنان دولتی,-1
3226,صاحبان کسب و کار,66
3227,عموم مردم وجامعه فرهنگی,68
3228,مدرسان، محصلان، دانشجویان و کادر درمان,45
3229,دانشجویان رشته، اساتید، فارغ النحصیلان,-1
3230,دانشجویان دوره تخصصی پزشکی,63
3231,کلیه معلمان شرکتی و برون سپاری و مردم عادی,13
3232,دامداران و تولید کنندگان صنعت دام سبک و سنگین,-1
3233,کارنامه سبزهای نهمین آزمون استخدامی آموزش و پرورش,61
3234,فارغ التحصیلان کاردان مدارک پزشکی,106
3235,پرسنل سازمان تامین اجتماعی و بازنشستگان,8
3236,دانشجویان و اساتید رشته علوم ارتباطات,28
3237,اعضای هیات علمی وزارت علوم تحقیقات و فناوری,52
3238,کارکنان نفت,3
3239,دانشجویان ایرانی در حال ورود به مقطع اصلی رشته های علوم پزشکی و درمانی دانشگاه های کشور روسیه,-1
3240,حامیان مردمی جنگل‌های زاگرس,0
3241,خانواده های دانش اموزان هنرستانی,35
3242,گیمر های موبایل و کامپیوتر و استریمر های ایرانی,66
3243,فارغ التحصیلان دانشگاه,-1
3244,جمعی از دانش‌آموزان و خانواده‌هایشان,62
3245,نوجوانان و جوانان (جامعۀ ورزشهای الکترونیک و تولیدکنندگان محتوا),66
3246,عموم مردم و فوتبال دوستان کشور,-1
3247,کارکنان مشاور در شرکت های توزیع نیروی برق,25
3248,بازنشستگان غیر حداقل بگیر تامین اجتماعی,8
3249,خانواده شهدا و جانبازان و اسرا جنگ تحمیلی,95
3250,پیمانکاران اسکلت بتنی، استادکاران اسکلت بتنی، کارگران ساختمانی، ابزار داران اسکلت بتنی,-1
3251,دهیاران و شورای ایلامی شهر و روستا و روستاییان و عموم مردم,-1
3252,حامیان‌حیوانات و محیط زیست,0
3253,بازنشستگان کشور ایران,-1
3254,متقاضیان و داوطلبان کنکور ۱۴۰۲,1
3255,کارمندان بانکهای سراسرکشور,3
3256,جمعی از پرسنل بانک رفاه,-1
3257,دوستداران فوتبال ایران,50
3258,عموم هموطنان حامی حيوانات، دامپزشكان، پزشكان، فرهنگيان و انجمن‌های مردم‌نهاد حمايت از حيوانات و محيط زيست,0
3259,کادر سلامت سراسر کشور و مدافعان سلامت,-1
3260,مسئولین دولتی، ورزشکاران، عموم مردم به عنوان خانواده ورزشکاران، قشر حقوقی جامعه,-1
3261,حامیان حیوانات، دوستداران محیط زیست، سرپرستان حیوانات,0
3262,جمعی از بازنشستگان فرهنگی,-1
3263,جمعی از معلمان غیر انتفاعی,-1
3264,جامعه راهنمایان ایرانگردی و جهانگردی,-1
3265,داوطلبان آزمونهای استخدامی دستگاههای اجرایی,1
3266,کل اقشار جامعه,15
3267,محصلان و فارغ‌التحصیلان آموزش و پرورش و والدین آنها,46
3268,استریمرها و تولیدکنندگان محتوا,66
3269,جمعی از پرسنل شهرداریها,-1
3270,جمعی از فارغ التحصیلان مامایی,-1
3271,کارمندان سازمان راهداری و حمل و نقل جاده ای کشور,39
3272,سهامداران و همدردان ایشان,23
3273,تمام اقشار جامعه,15
3274,معلمان ابتدایی و اولیا,35
3275,تمامی داوطلبین کنکوری ۱۴۰۱,1
3276,کارکنان شهرداری‌های سراسر جمهوری اسلامی ایران,-1
3277,پرنسل محترم خودرو سازی,-1
3278,مبلشویان سراسر کشور,12
3279,عموم مردم و حامیان محیط زیست,0
3280,بارنشستگان تامین اجتماعی,8
3281,معاونین آموزشی و پرورشی و اجرایی مدارس ابتدایی و متوسطه اول و متوسطه دوم,41
3282,جمعی از کارمندان شرکت پست و بازنشستگان آن,-1
3283,جمعی از دانشجویان، متخصصان و فعالین حوزه شهرسازی ومعماری اسلامی ایرانی,-1
3284,جمعی از مردم عادی و قشر کارگر و کارمند,-1
3285,جمعی از مردم حیوان دوست و حامیان حیوانها,-1
3286,جمعی از بازنشستگان کمیته امداد,-1
3287,جمعی از آموزش دهندگان نهضت سوادآموزی ۹۲ به بعد کشور,93
3288,کارمندان بیمارستان,-1
3289,اعضای سازمان نظام مهندسی ساختمان استان تهران,20
3290,داوطلبین آزمون استخدامی آموزش و پرورش در کل کشور,61
3291,بازنشستگان ؛ فرهنگی ؛ کارمندان ؛ کارگران ؛ رانندگان,97
3292,کارآفرینان، تولید کنندگان و کشاورزان,54
3293,جمعی از هنرمندان و اقشار مختلف مردم,-1
3294,همه دوستاران محیط زیست,0
3295,دانش‌آموزان، داوطلبان کنکور و خانواده‌هایشان و تمام مردم آزاده ایران,-1
3296,کنکوری‌ها,2
3297,طرفداران گروه بی‌تی‌اس,-1
3298,جوانان کارجوی شهرستانی,135
3299,کارگران و کارمندان و بازنشستگان سازمان تأمین اجتماعی,8
3300,بخش خصوصی و اتاق‌های بازرگانی,13
3301,شرکت‌کنندگان آزمون سراسری کنکور,1
3302,دانش‌آموزان و والدین,117
3303,حقوق‌خوانان,-1
3304,تولید کنندگان بخش کشاورزی و دام و طیور و ابزیان کشور,54
3305,جمعی از کارمندان دستگاههای اجرایی,17
3306,دستیاران تخصصی پزشکی,78
3307,جمعی از فعالان گردشگری,-1
3308,جمعی از مهندسین صنایع,5
3309,جمعی از کارکنان ایمنی بهداشت و محیط زیست,0
3310,کارمندان دفاتر اسناد رسمی,-1
3311,کسبه ، تجار ، و کلیه اشخاص حقیقی و حقوقی که از سیستم دستگاههای کارتخوان استفاده میکنند.,-1
3312,بازنشستگان کشوری لشگری و تامین اجتماعی,8
3313,جمعی از کارشناسان و مدیران میانی وزارت تعاون کار و رفاه اجتماعی,-1
3314,داوطلبان نهمین آزمون استخدامی آموزش‌وپرورش,1
3315,عموم مردم، ازجمله زنان و جوانان,-1
3316,جمعی از مهندسین برق نظام مهندسی کشور,119
3317,کارمندان آموزش عالی وزارت علوم، تحقیقات و فناوری,-1
3318,جمعی از دانشجو معلمان,-1
3319,جمعی از بیماران صعب العلاج و عموم مردم,86
3320,عموم کارکنان آبفا,107
3321,بیمه‌شدگان و بازنشستگان تأمین اجتماعی,8
3322,جمعی از کارکنان دولت و کارگران اداره کار,17
3323,همه مردم ایران، به ویژه دانش‌آموزان و خانواده‌های داوطلبان کنکور,-1
3324,کارکنان رسمی و پیمانی راه‌آهن جمهوری اسلامی ایران,-1
3325,عموم مردم، فعالان سیاسی، حقوقدان‌ها,-1
3326,کارکنان شهرداری‌ها، کارکنان دولت، و کارکنان سازمان آتش‌نشانی‌های کشور,13
3327,جمعی از فعالان و مطالبه گران اجتماعی و محیط زیستی,0
3328,جمعی از دانشجویان دندانپزشکی,-1
3329,برخی از معلمان غیررسمی بعد از سال ۹۱,93
3330,بیماران کلیوی,27
3331,جمعی از کارگران شرکتی,5
3332,پرسنل ارشاد,3
3333,جمعی از معلمان، اساتید، دانش‌آموختگان و دلسوزان زبان و ادبیات فارسی,-1
3334,همه کارکنان و بازنشستگان سازمان,-1
3335,جمعی از تولید کنندگان و مالکان اسب و ورزشکاران رشته سوارکاری,-1
3336,شهروندان جمهوری اسلامی ایران,-1
3337,فارغ‌التحصیلان رشته‌های مهندسی,53
3338,نمایندگان بیمه,-1
3339,جمعی از کارکنان بانک ها,17
3340,شاغلین و بازنشستگان سازمان تأمین اجتماعی,8
3341,جمعی از سردفتران ازدواج و طلاق و خانواده های آنان,-1
3342,کارکنان رسمی وزارت نفت,25
3343,جمعی از کارمندان و کارگران شاغل در سطح کشور,6
3344,آحاد مردمی کشور و مالباختگان شرکت‌های خودرویی,-1
3345,بازنشستگان صنایع فولادی و معدنی کشور,113
3346,عموم مردم از جمله قشر جوان جامعه,103
3347,افراد مبتلا به بیش‌فعالی/نقص توجه و خانواده‌های آنها,27
3348,جمعی از دانشجویان مقطع دکتری دانشگاه آزاد اسلامی,24
3349,تمام اقشار مردم,15
3350,جمعی از کارمندان رسمی نفت,17
3351,جمعی از کاربران روبیکا,5
3352,جمعی از مهندسین،دانشجویان،فارغ التحصیلان،اعضای پروانه دار سازمان نظام مهندسی ساختمان,-1
3353,جمعی از اعضای پروانه دار سازمان نظام مهندسی ساختمان،نظام مهندسی ساختمان,119
3354,جمعی از مردم ایران، رزمندگان و خانواده‌های شهدا و جانبازان,77
3355,پرسنل گروه خودروسازی سایپا,19
3356,جمعی از کارمندان رن بخش خصوصی شهر تهران,17
3357,جمعی از داوطلبان کنکور و دانشگاهیان و معلمان,-1
3358,جمعی از بازنشستگان و اقشار مختلف مردم,86
3359,آسیب‌دیدگان تجاوز و عموم ملت ایران,18
3360,جمعی از کارگران ، دانشجویان ، آحاد ملت ایران ، اقشار مستضعف,-1
3361,جمعی از مهندسان ناظر راهسازی,5
3362,جمعی از کارکنان دولت و بازنشستگان,17
3363,جامعه ورزش سوارکاری و سایر ورزش‌های مرتبط با اسب زیر نظر فدراسیون سوارکاری,80
3364,داوطلبان دوره ۳۵ از المپیاد ادبی، مدال‌دارانِ سال‌های گذشته، صاحب‌نظران و دانش‌آموختگان رشتۀ زبان و ادبیات فارسی,-1
3365,جمعی از کارگران تابع قانون کار,17
3366,جمعی از پرورش‌دهندگان ماهی,5
3367,جمعی از بینندگان تلویزیونی و فوتبال دوستان,-1
3368,جمعی از مردم فوتبال‌دوست,-1
3369,جمعی از هواداران تیم ملی,92
3370,جمعی از سهامداران,-1
3371,انقلابیون,2
3372,مهندسین معادن و مسئولین فنی,49
3373,جمعی از سرمایه‌گذاران در سایت trxft,6
3374,جمعی از کارگران مشمول قانون کار,17
3375,فعالین استارتاپی، دانشجویان و فارغ‌التحصیلان دانشگاهی,45
3376,کارکنان دانشگاه علوم پزشکی,37
3377,دانش‌آموختگان دارای مدارک دانشگاهی و دانشجویان در حال تحصیل,-1
3378,جمعی از سهامداران حقیقی بازار سرمایه,98
